avg_ut,n_accidents,n_fat_in,n_fat_out,n_inj_in,n_inj_out
0.4807499999999999,3.0,0.0,0.0,1.0,0.0
0.45599999999999996,3.0,0.0,0.0,1.0,0.0
0.5294999999999999,1.0,0.0,0.0,0.0,0.0
0.5249999999999999,0.0,0.0,0.0,0.0,0.0
0.5024999999999998,1.0,0.0,0.0,0.0,0.0
0.3989999999999999,2.0,0.0,0.0,0.0,1.0
0.4852499999999999,2.0,0.0,0.0,1.0,0.0
0.5249999999999999,1.0,0.0,0.0,0.0,0.0
0.21149999999999994,2.0,0.0,1.0,0.0,0.0
0.38099999999999995,3.0,0.0,0.0,0.0,1.0
0.5002499999999999,3.0,0.0,0.0,0.0,0.0
0.5205,1.0,0.0,0.0,0.0,0.0
0.4695,2.0,0.0,0.0,1.0,0.0
0.40824999999999995,4.0,1.0,0.0,1.0,0.0
0.5025,1.0,0.0,0.0,0.0,0.0
0.48899999999999993,2.0,0.0,0.0,0.0,0.0
0.5009999999999999,1.0,0.0,0.0,1.0,0.0
0.5047499999999999,2.0,0.0,0.0,0.0,0.0
0.5047499999999999,1.0,0.0,0.0,0.0,0.0
0.5092499999999999,2.0,0.0,0.0,0.0,0.0
0.4237499999999999,2.0,0.0,0.0,0.0,1.0
0.5227499999999999,1.0,0.0,0.0,0.0,0.0
0.4777499999999999,4.0,0.0,0.0,0.0,0.0
0.5092499999999999,1.0,0.0,0.0,0.0,0.0
0.4102499999999999,2.0,0.0,0.0,0.0,1.0
0.5009999999999999,1.0,0.0,0.0,1.0,0.0
0.46425,2.0,0.0,0.0,0.0,0.0
0.37875,3.0,0.0,0.0,0.0,1.0
0.4282499999999999,2.0,0.0,0.0,0.0,1.0
0.38025,2.0,0.0,0.0,2.0,1.0
0.46124999999999994,3.0,0.0,0.0,2.0,0.0
0.4912499999999999,1.0,0.0,0.0,0.0,0.0
0.3939999999999999,6.0,1.0,0.0,0.0,0.0
0.48674999999999996,2.0,0.0,0.0,0.0,0.0
0.48749999999999993,2.0,0.0,0.0,1.0,0.0
0.46874999999999994,3.0,0.0,0.0,0.0,0.0
0.4695,5.0,0.0,0.0,1.0,0.0
0.4844999999999999,3.0,0.0,0.0,0.0,0.0
0.5002499999999999,2.0,0.0,0.0,0.0,0.0
0.4492499999999999,6.0,0.0,0.0,1.0,0.0
0.49349999999999994,2.0,0.0,0.0,0.0,0.0
0.47325,3.0,0.0,0.0,0.0,0.0
0.5137499999999999,1.0,0.0,0.0,0.0,0.0
0.5069999999999999,1.0,0.0,0.0,0.0,0.0
0.5025,1.0,0.0,0.0,0.0,0.0
0.5115,2.0,0.0,0.0,0.0,0.0
0.37499999999999994,3.0,0.0,0.0,1.0,1.0
